"","artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"80","Taylor Swift",0.328,0.482,0.779,-5.025,0.0409,0.0135,0.296,158.162,"Today Was A Fairytale (Taylor’s Version)","Fearless (Taylor's Version)",2021
"81","Taylor Swift",0.44,0.599,0.494,-7.61,0.0372,0.816,0.101,142.893,"You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",2021
"82","Taylor Swift",0.714,0.66,0.817,-6.269,0.0521,0.162,0.0667,135.942,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",2021
"83","Taylor Swift",0.13,0.609,0.373,-8.819,0.0263,0.849,0.0779,106.007,"We Were Happy (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",2021
"84","Taylor Swift",0.508,0.588,0.608,-7.062,0.0365,0.225,0.092,90.201,"That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",2021
"85","Taylor Swift",0.405,0.563,0.473,-11.548,0.0503,0.514,0.109,101.934,"Don’t You (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",2021
"86","Taylor Swift",0.527,0.624,0.624,-7.86,0.0539,0.334,0.0995,80.132,"Bye Bye Baby (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)",2021
"87","Taylor Swift",0.529,0.392,0.574,-9.195,0.17,0.833,0.145,81.112,"willow","evermore (deluxe version)",2021
"88","Taylor Swift",0.32,0.462,0.24,-12.077,0.0377,0.92,0.113,171.319,"champagne problems","evermore (deluxe version)",2021
"89","Taylor Swift",0.353,0.512,0.462,-10.491,0.0408,0.83,0.121,112.05,"gold rush","evermore (deluxe version)",2021
"90","Taylor Swift",0.348,0.575,0.434,-8.193,0.0312,0.735,0.105,145.916,"‘tis the damn season","evermore (deluxe version)",2021
"91","Taylor Swift",0.221,0.316,0.361,-10.381,0.0488,0.878,0.0797,74.952,"tolerate it","evermore (deluxe version)",2021
"92","Taylor Swift",0.535,0.546,0.613,-7.589,0.0264,0.418,0.103,79.015,"no body, no crime (feat. HAIM)","evermore (deluxe version)",2021
"93","Taylor Swift",0.211,0.559,0.334,-10.733,0.0376,0.87,0.114,122.079,"happiness","evermore (deluxe version)",2021
"94","Taylor Swift",0.354,0.605,0.488,-8.322,0.0264,0.696,0.129,119.966,"dorothea","evermore (deluxe version)",2021
"95","Taylor Swift",0.292,0.537,0.537,-11.266,0.0617,0.819,0.142,107.895,"coney island (feat. The National)","evermore (deluxe version)",2021
"96","Taylor Swift",0.535,0.515,0.545,-9.277,0.0353,0.855,0.0921,88.856,"ivy","evermore (deluxe version)",2021
"97","Taylor Swift",0.511,0.604,0.517,-9.014,0.0347,0.768,0.123,127.967,"cowboy like me","evermore (deluxe version)",2021
"98","Taylor Swift",0.573,0.546,0.73,-7.704,0.0417,0.66,0.0972,157.895,"long story short","evermore (deluxe version)",2021
"99","Taylor Swift",0.287,0.535,0.561,-11.609,0.0484,0.876,0.115,96.103,"marjorie","evermore (deluxe version)",2021
"100","Taylor Swift",0.92,0.689,0.704,-10.813,0.245,0.835,0.134,151.884,"closure","evermore (deluxe version)",2021
"101","Taylor Swift",0.32,0.39,0.27,-10.673,0.0308,0.937,0.111,125.177,"evermore (feat. Bon Iver)","evermore (deluxe version)",2021
"102","Taylor Swift",0.645,0.581,0.619,-6.524,0.0282,0.769,0.117,137.915,"right where you left me - bonus track","evermore (deluxe version)",2021
"103","Taylor Swift",0.416,0.592,0.41,-12.426,0.0397,0.801,0.09,151.923,"it’s time to go - bonus track","evermore (deluxe version)",2021
"104","Taylor Swift",0.549,0.392,0.579,-9.195,0.164,0.835,0.145,80.961,"willow","evermore (deluxe version)",2021
"105","Taylor Swift",0.325,0.463,0.248,-12.036,0.0374,0.92,0.113,171.346,"champagne problems","evermore (deluxe version)",2021
"106","Taylor Swift",0.351,0.498,0.471,-10.406,0.0411,0.811,0.121,112.018,"gold rush","evermore (deluxe version)",2021
"107","Taylor Swift",0.351,0.575,0.435,-8.193,0.0311,0.737,0.105,145.91,"‘tis the damn season","evermore (deluxe version)",2021
"108","Taylor Swift",0.212,0.373,0.36,-10.376,0.0387,0.878,0.079,147.442,"tolerate it","evermore (deluxe version)",2021
"109","Taylor Swift",0.528,0.547,0.613,-7.577,0.0264,0.431,0.102,79.011,"no body, no crime (feat. HAIM)","evermore (deluxe version)",2021
"110","Taylor Swift",0.201,0.558,0.331,-10.649,0.0381,0.861,0.113,122.035,"happiness","evermore (deluxe version)",2021
"111","Taylor Swift",0.361,0.607,0.488,-8.329,0.0264,0.694,0.129,119.953,"dorothea","evermore (deluxe version)",2021
"112","Taylor Swift",0.304,0.529,0.536,-11.269,0.0627,0.826,0.141,107.873,"coney island (feat. The National)","evermore (deluxe version)",2021
"113","Taylor Swift",0.522,0.329,0.547,-9.514,0.0397,0.848,0.088,86.629,"ivy","evermore (deluxe version)",2021
"114","Taylor Swift",0.512,0.605,0.513,-8.962,0.0337,0.774,0.123,127.986,"cowboy like me","evermore (deluxe version)",2021
"115","Taylor Swift",0.571,0.546,0.732,-7.715,0.0423,0.674,0.0972,157.893,"long story short","evermore (deluxe version)",2021
"116","Taylor Swift",0.294,0.535,0.562,-11.615,0.0479,0.878,0.114,96.103,"marjorie","evermore (deluxe version)",2021
"117","Taylor Swift",0.919,0.686,0.705,-10.823,0.249,0.832,0.134,151.868,"closure","evermore (deluxe version)",2021
"118","Taylor Swift",0.314,0.395,0.27,-10.672,0.0309,0.937,0.111,120.94,"evermore (feat. Bon Iver)","evermore (deluxe version)",2021
"119","Taylor Swift",0.645,0.581,0.619,-6.524,0.0282,0.769,0.117,137.915,"right where you left me - bonus track","evermore (deluxe version)",2021
"120","Taylor Swift",0.416,0.592,0.41,-12.426,0.0397,0.801,0.09,151.923,"it’s time to go - bonus track","evermore (deluxe version)",2021
"121","Taylor Swift",0.529,0.392,0.574,-9.195,0.17,0.833,0.145,81.112,"willow","evermore",2020
"122","Taylor Swift",0.32,0.462,0.24,-12.077,0.0377,0.92,0.113,171.319,"champagne problems","evermore",2020
"123","Taylor Swift",0.353,0.512,0.462,-10.491,0.0408,0.83,0.121,112.05,"gold rush","evermore",2020
"124","Taylor Swift",0.348,0.575,0.434,-8.193,0.0312,0.735,0.105,145.916,"‘tis the damn season","evermore",2020
"125","Taylor Swift",0.221,0.316,0.361,-10.381,0.0488,0.878,0.0797,74.952,"tolerate it","evermore",2020
"126","Taylor Swift",0.535,0.546,0.613,-7.589,0.0264,0.418,0.103,79.015,"no body, no crime (feat. HAIM)","evermore",2020
"127","Taylor Swift",0.211,0.559,0.334,-10.733,0.0376,0.87,0.114,122.079,"happiness","evermore",2020
"128","Taylor Swift",0.354,0.605,0.488,-8.322,0.0264,0.696,0.129,119.966,"dorothea","evermore",2020
"129","Taylor Swift",0.292,0.537,0.537,-11.266,0.0617,0.819,0.142,107.895,"coney island (feat. The National)","evermore",2020
"130","Taylor Swift",0.535,0.515,0.545,-9.277,0.0353,0.855,0.0921,88.856,"ivy","evermore",2020
"131","Taylor Swift",0.511,0.604,0.517,-9.014,0.0347,0.768,0.123,127.967,"cowboy like me","evermore",2020
"132","Taylor Swift",0.573,0.546,0.73,-7.704,0.0417,0.66,0.0972,157.895,"long story short","evermore",2020
"133","Taylor Swift",0.287,0.535,0.561,-11.609,0.0484,0.876,0.115,96.103,"marjorie","evermore",2020
"134","Taylor Swift",0.92,0.689,0.704,-10.813,0.245,0.835,0.134,151.884,"closure","evermore",2020
"135","Taylor Swift",0.32,0.39,0.27,-10.673,0.0308,0.937,0.111,125.177,"evermore (feat. Bon Iver)","evermore",2020
"136","Taylor Swift",0.529,0.392,0.574,-9.195,0.17,0.833,0.145,81.112,"willow","evermore",2020
"137","Taylor Swift",0.32,0.462,0.24,-12.077,0.0377,0.92,0.113,171.319,"champagne problems","evermore",2020
"138","Taylor Swift",0.353,0.512,0.462,-10.491,0.0408,0.83,0.121,112.05,"gold rush","evermore",2020
"139","Taylor Swift",0.348,0.575,0.434,-8.193,0.0312,0.735,0.105,145.916,"‘tis the damn season","evermore",2020
"140","Taylor Swift",0.221,0.316,0.361,-10.381,0.0488,0.878,0.0797,74.952,"tolerate it","evermore",2020
"141","Taylor Swift",0.535,0.546,0.613,-7.589,0.0264,0.418,0.103,79.015,"no body, no crime (feat. HAIM)","evermore",2020
"142","Taylor Swift",0.211,0.559,0.334,-10.733,0.0376,0.87,0.114,122.079,"happiness","evermore",2020
"143","Taylor Swift",0.354,0.605,0.488,-8.322,0.0264,0.696,0.129,119.966,"dorothea","evermore",2020
"144","Taylor Swift",0.292,0.537,0.537,-11.266,0.0617,0.819,0.142,107.895,"coney island (feat. The National)","evermore",2020
"145","Taylor Swift",0.535,0.515,0.545,-9.277,0.0353,0.855,0.0921,88.856,"ivy","evermore",2020
"146","Taylor Swift",0.511,0.604,0.517,-9.014,0.0347,0.768,0.123,127.967,"cowboy like me","evermore",2020
"147","Taylor Swift",0.573,0.546,0.73,-7.704,0.0417,0.66,0.0972,157.895,"long story short","evermore",2020
"148","Taylor Swift",0.287,0.535,0.561,-11.609,0.0484,0.876,0.115,96.103,"marjorie","evermore",2020
"149","Taylor Swift",0.92,0.689,0.704,-10.813,0.245,0.835,0.134,151.884,"closure","evermore",2020
"150","Taylor Swift",0.32,0.39,0.27,-10.673,0.0308,0.937,0.111,125.177,"evermore (feat. Bon Iver)","evermore",2020
"151","Taylor Swift",0.549,0.392,0.579,-9.195,0.164,0.835,0.145,80.961,"willow","evermore",2020
"152","Taylor Swift",0.325,0.463,0.248,-12.036,0.0374,0.92,0.113,171.346,"champagne problems","evermore",2020
"153","Taylor Swift",0.351,0.498,0.471,-10.406,0.0411,0.811,0.121,112.018,"gold rush","evermore",2020
"154","Taylor Swift",0.351,0.575,0.435,-8.193,0.0311,0.737,0.105,145.91,"‘tis the damn season","evermore",2020
"155","Taylor Swift",0.212,0.373,0.36,-10.376,0.0387,0.878,0.079,147.442,"tolerate it","evermore",2020
"156","Taylor Swift",0.528,0.547,0.613,-7.577,0.0264,0.431,0.102,79.011,"no body, no crime (feat. HAIM)","evermore",2020
"157","Taylor Swift",0.201,0.558,0.331,-10.649,0.0381,0.861,0.113,122.035,"happiness","evermore",2020
"158","Taylor Swift",0.361,0.607,0.488,-8.329,0.0264,0.694,0.129,119.953,"dorothea","evermore",2020
"159","Taylor Swift",0.304,0.529,0.536,-11.269,0.0627,0.826,0.141,107.873,"coney island (feat. The National)","evermore",2020
"160","Taylor Swift",0.522,0.329,0.547,-9.514,0.0397,0.848,0.088,86.629,"ivy","evermore",2020
"161","Taylor Swift",0.512,0.605,0.513,-8.962,0.0337,0.774,0.123,127.986,"cowboy like me","evermore",2020
"162","Taylor Swift",0.571,0.546,0.732,-7.715,0.0423,0.674,0.0972,157.893,"long story short","evermore",2020
"163","Taylor Swift",0.294,0.535,0.562,-11.615,0.0479,0.878,0.114,96.103,"marjorie","evermore",2020
"164","Taylor Swift",0.919,0.686,0.705,-10.823,0.249,0.832,0.134,151.868,"closure","evermore",2020
"165","Taylor Swift",0.314,0.395,0.27,-10.672,0.0309,0.937,0.111,120.94,"evermore (feat. Bon Iver)","evermore",2020
"166","Taylor Swift",0.163,0.78,0.361,-6.942,0.048,0.75,0.108,139.902,"the 1","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"167","Taylor Swift",0.534,0.612,0.58,-8.572,0.0419,0.525,0.26,130.045,"cardigan","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"168","Taylor Swift",0.701,0.688,0.653,-8.558,0.0403,0.481,0.106,147.991,"the last great american dynasty","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"169","Taylor Swift",0.16,0.31,0.374,-8.464,0.0275,0.761,0.11,75.938,"exile (feat. Bon Iver)","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"170","Taylor Swift",0.112,0.456,0.265,-10.663,0.0328,0.814,0.0679,129.947,"my tears ricochet","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"171","Taylor Swift",0.347,0.549,0.417,-10.064,0.035,0.686,0.0604,110.137,"mirrorball","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"172","Taylor Swift",0.374,0.602,0.494,-10.813,0.0277,0.888,0.0902,94.955,"seven","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"173","Taylor Swift",0.42,0.387,0.634,-9.222,0.0363,0.553,0.0931,89.567,"august","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"174","Taylor Swift",0.408,0.511,0.478,-9.837,0.0322,0.312,0.147,135.882,"this is me trying","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"175","Taylor Swift",0.44,0.529,0.304,-10.567,0.0356,0.862,0.108,119.58,"illicit affairs","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"176","Taylor Swift",0.454,0.651,0.459,-11.128,0.0507,0.859,0.105,83.455,"invisible string","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"177","Taylor Swift",0.451,0.593,0.7,-9.016,0.0492,0.67,0.116,141.898,"mad woman","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"178","Taylor Swift",0.103,0.317,0.254,-13.679,0.0286,0.727,0.0867,93.933,"epiphany","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"179","Taylor Swift",0.476,0.595,0.376,-8.767,0.0256,0.589,0.0989,95.946,"betty","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"180","Taylor Swift",0.328,0.644,0.284,-12.879,0.0821,0.916,0.0909,150.072,"peace","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"181","Taylor Swift",0.404,0.676,0.178,-15.01,0.0394,0.964,0.135,118.84,"hoax","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"182","Taylor Swift",0.268,0.313,0.258,-11.532,0.0383,0.842,0.0948,179.947,"the lakes - bonus track","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
"183","Taylor Swift",0.156,0.708,0.25,-10.731,0.0361,0.898,0.102,139.803,"the 1 - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]",2020
